PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA
216,"ANNULE \P 09h-12h MAR. 1 MARS AU 1 DEC. ENTRETIEN","EU-VB"
218,"ANNULE \P 09h-12h VEN. 1 MARS AU 1 DEC. ENTRETIEN","EU-VD"
219,"ANNULE \P 09h-12h MER. 1 MARS AU 1 DEC. ENTRETIEN","EU-VM"
224,"ANNULE \P 08h-09h LUN. AU VEN. 1 MARS AU 1 DEC. ENTRETI","EV-VH"
227,"PANONCEAU FLECHE POUR PANNEAUX AUT. DU MTQ","FB-*"
228,"EST FOND BLEU","FB-E"
229,"NORD FOND BLEU","FB-N"
230,"OUEST FOND BLEU","FB-O"
231,"SUD FOND BLEU","FB-S"
233,"AUTOROUTE 15  -  FOND BLEU","G-15"
235,"AUTOROUTE 20","G-20"
236,"AUTOROUTE 25  -  FOND BLEU","G-25"
237,"AUTOROUTE 40  -  FOND BLEU","G-40"
240,"AUTOROUTE 720  - FOND BLEU","G-720"
241,"NORD","GA-A"
244,"XXX M (PANONCEAU DE DISTANCE)","GA-AA"
245,"XXX KM (PANONCEAU DE DISTANCE)","GA-AB"
246,"IMPASSE CIRCULATION LOCALE SEULEMENT","GA-B"
247,"SUD","GA-C"
248,"SUD","GA-C-1"
254,"DEMI-TOUR                        * = FLECHE","GA-DT-*"
255,"EST","GA-E"
258,"OUEST","GA-G"
259,"OUEST","GA-G-1"
261,"GARDERIE (PICTOGRAMME)","GA-GA"
262,"BIBLIOTHEQUE (PICTOGRAMME)","GA-GB"
263,"CENTRE COMMUNAUTAIRE (PICTOGRAMME)","GA-GC"
264,"ARENA (PICTOGRAMME)","GA-GD"
265,"EGLISE (PICTOGRAMME)","GA-GE"
266,"GARE FERROVIAIRE (PICTOGRAMME)","GA-GF"
267,"PISCINE EXTERIEURE (PICTOGRAMME)","GA-GG"
268,"PISCINE INTERIEURE (PICTOGRAMME)","GA-GH"
272,"IMPASSE (NOM DE LA RUE)","GA-H"
274,"CIRCULATION LOCALE SEULEMENT","GA-Q"
275,"ACHEMINEMENT CAMION","GA-R"
277,"ACCES 400 A 500 ST-PAUL E., AUTO T.DROIT,CAMION A GAUCH","GA-TA"
279,"ACCES 400 A 500 ST-PAUL EST   *=FLECHE","GA-TC-*"
280,"HOTEL DE VILLE, COUR MINIC., CHAUSSEGROS..., P.JUSTICE","GB-A"
281,"HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE","GB-B"
282,"HOTEL DE VILLE, COUR MUNIC., CHAUSSEGROS..., P.JUSTICE","GB-C"
283,"NAVETTE - PARC JEAN-DRAPEAU-LONGUEUIL (PIETONS + CYCLISTES)","GB-D-*"
284,"PONT JACQUES CARTIER (AVEC FLECHE APPROPRIEE)","GC-AA-*"
285,"RUE CENTRE FL.3","GC-AB"
286,"RUE ST-PATRICK FL.1","GC-AC"
287,"PONT VICTORIA (VIA RUES WILLIAM ET DES SEIGNEURS) FL.2","GC-AD"
290,"RUE NOTRE-DAME - * SELON DIR. FLECHES","GC-AG-*"
292,"CENTRE-VILLE - * SELON DIR. FLECHES","GC-AI-*"
293,"PONT CHAMPLAIN - * SELON DIR. FLECHES","GC-AJ-*"
294,"PONT PAPINEAU-LEBLANC    * = FLECHE","GC-AK-*"
296,"MARCHE ATWATER","GC-AN-*"
297,"MARCHE ST-JACQUES","GC-AO-*"
298,"MARCHE MAISONNEUVE","GC-AP-*"
299,"MARCHE JEAN-TALON","GC-AQ-*"
301,"RUE D'IBERVILLE       *=FLECHE","GC-AS-*"
302,"BOULEVARD SAINT-JOSEPH     *=FLECHE","GC-AT-*"
303,"RUE LACORDAIRE             *=FLECHE","GC-AU-*"
304,"RUE SHERBROOKE             *=FLECHE","GC-AV-*"
305,"PONT WELLINGTON            *=FLECHE","GC-AW-*"
306,"BOUL. DE L'ACADIE          *=FLECHE","GC-AX-*"
308,"AVENUE CORONATION VIA MONKLAND    *=FLECHE","GC-AZ-*"
311,"2324 ET 2425 RUE JOLIETTE   *=FLECHE","GC-BA-*"
312,"PLAZA MONK   *=FLECHE","GC-BB-*"
314,"MARCHE PUBLIC DU VIEUX POINTE-AUX-TREMBLES","GC-BD-*"
315,"MONTREAL              * = FLECHE","GC-BE-*"
316,"PLACE TURCOT     * = FLECHE","GC-BF-*"
321,"FLECHE 2 - PONT VICTORIA","GC-F-1"
